"imod","pr_seed","voucher","or","lowor","upor","mi_seed","log_or","log_lowor","log_upor","Intercept","Age","SEXF","RHISP","RBLK","ROTH","PT41","PT42","PT43","PT44","PT45","PT46","PT48","PT50","PT50_1","PT51","PT55","PT209","PT211","PT212","PT213","PT214","PT233","PT237"
2,123,"RA_GRP_EXP",2.25840,1.06066,4.80867,524236,0.81465,0.05889,1.57042,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,123,"RA_GRP_EXP",2.44676,1.06024,5.64649,524237,0.89477,0.05850,1.73103,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,123,"RA_GRP_EXP",2.52409,1.17463,5.42387,524238,0.92588,0.16095,1.69081,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,123,"RA_GRP_EXP",2.18003,1.02709,4.62721,524239,0.77934,0.02673,1.53195,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",3.32690,1.64251,6.73862,524230,1.20204,0.49622,1.90786,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",3.44922,1.65949,7.16914,524231,1.23815,0.50651,1.96979,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",3.44033,1.67705,7.05758,524232,1.23557,0.51703,1.95410,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",2.72196,1.32649,5.58545,524233,1.00135,0.28254,1.72016,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",3.27958,1.49595,7.18981,524234,1.18771,0.40276,1.97266,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",2.49790,1.14239,5.46178,524235,0.91545,0.13312,1.69778,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",2.34172,1.08856,5.03752,524236,0.85088,0.08485,1.61691,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",2.62293,1.15396,5.96186,524237,0.96429,0.14320,1.78538,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",2.60191,1.18695,5.70363,524238,0.95624,0.17139,1.74110,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,1234,"RA_GRP_EXP",2.22534,1.03814,4.77021,524239,0.79991,0.03743,1.56239,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524230,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524231,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524232,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524233,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524234,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524235,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524236,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524237,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524238,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
2,12345,"RA_GRP_EXP",2.22090,1.03299,4.77487,524239,0.79791,0.03245,1.56337,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
